number	Station_type
5003	V+
5005	V+
5006	V+
5012	V+
5013	V+
5032	V+
8104	V+
9004	V+
9005	V+
9018	V+
10028	V+
10107	V+
13008	V+
13010	V+
13022	V+
13023	V+
13029	V+
13106	V+
13117	V+
14002	V+
14029	V+
14030	V+
14031	V+
14033	V+
14034	V+
14035	V+
14114	V+
15027	V+
15044	V+
15114	V+
16001	V+
16006	V+
16008	V+
16009	V+
16010	V+
17002	V+
17033	V+
17050	V+
18001	V+
18002	V+
18003	V+
18004	V+
18006	V+
18015	V+
18016	V+
18017	V+
18019	V+
18020	V+
18021	V+
18041	V+
18042	V+
18043	V+
18045	V+
18046	V+
18111	V+
18113	V+
18114	V+
19023	V+
19024	V+
19025	V+
19026	V+
19027	V+
19028	V+
19037	V+
19038	V+
19040	V+
19041	V+
19101	V+
19113	V+
19120	V+
19121	V+
19124	V+
20002	V+
20020	V+
20021	V+
20023	V+
20024	V+
20025	V+
20029	V+
20035	V+
20036	V+
20037	V+
20038	V+
20042	V+
20103	V+
20104	V+
20106	V+
20108	V+
20109	V+
20110	V+
20111	V+
20112	V+
20113	V+
20115	V+
20119	V+
20120	V+
20121	V+
20122	V+
21209	V+
21211	V+
21308	V+
21701	V+
21702	V+
22407	V+
31009	V+
31701	V+
31702	V+
31703	V+
31704	V+
31705	V+
31706	V+
31708	V+
32601	V+
32602	V+
32603	V+
32604	V+
32605	V+
32606	V+
33102	V+
33103	V+
33104	V+
35013	V+
41101	V+
42701	V+
42702	V+
42704	V+
